area,焦炭产量(万吨),酸碱产量(万吨),水泥产量(万吨),钢材产量(万吨),发电量(亿千瓦小时),化学纤维产量(万吨)
北京市,,0,258.07,203.36,472.57,0.34
天津市,153.64,90.35,632.03,5991.73,799.73,8.56
河北省,4056.99,323.14,11354.63,29559.38,3513.42,90.04
山西省,9857.24,99.48,5688.62,6173.88,3926.16,1.04
内蒙古自治区,4657.93,893.56,3667.92,2957.55,6119.93,0.67
辽宁省,2293.81,235.87,4938.91,7759.09,2257.58,23.39
吉林省,399.12,78.47,2125.29,1790.6,1025.75,44.77
黑龙江省,1234.92,82.01,2181.59,951.38,1200.53,2.25
上海市,540.86,82.26,443.99,1941.43,1003.06,32.47
江苏省,1438.35,620.94,15402.11,15701.9,5968.89,1625.34
浙江省,216.47,543.73,13637.96,3451.83,4222.5,3209.61
安徽省,1252.62,773,15001,3820.33,3083.39,59.97
福建省,224.62,370.1,10131.01,3980.53,2950.8,1029.66
江西省,694.45,493.13,10403.74,3480.92,1563.27,107.66
山东省,3186.78,1635.13,16580.41,10667.62,6210.32,77.12
河南省,1514.93,695.87,11402.2,4335.97,3039.08,79.19
湖北省,882.43,1228.18,11861.88,3852.07,3292.37,39
湖南省,660.93,251.35,10466.58,2979.7,1741.86,4.65
广东省,619.81,286.13,17084.27,5111.18,6306.23,84.71
广西壮族自治区,1071.81,519.4,11432.02,5282.09,2081.93,0.53
海南省,212.55,28.8,1937.52,36.29,391.23,4.8
重庆市,286.36,102.94,6238.18,1310.46,991.43,20.83
四川省,1058.58,636.39,14171.41,3496.25,4530.33,77.37
贵州省,417.91,508.88,9332.85,811.16,2368.4,1.3
云南省,1282.44,1618.26,11511.51,2646.44,3770.23,4.21
西藏自治区,0,0,991.59,3.5,112.77,0
陕西省,4320.78,236.6,6698.52,2097.41,2739.75,3.83
甘肃省,499.85,306.88,4478.2,1080.59,1896.82,0.14
青海省,157.71,46.8,1107.09,181.99,995.71,0.31
宁夏回族自治区,964.73,144.56,1870.05,582.29,2082.89,2.47
新疆维吾尔自治区,2499.71,383.39,4693.35,1467.68,4683.55,77.54
