area,建筑业房屋施工面积(万平方米),建筑业房屋竣工面积(万平方米),建筑业企业自有施工机械设备年末总功率(万千瓦),建筑业企业从业人员(万人),建筑业企业总收入(亿元),征用土地面积(平方公里)
北京市,91154.8,13254.5,716,56.26,17507,30
天津市,18022.6,2189.8,658,57.6,5209.82,30
河北省,35548.9,8212.2,848,78.97,5937.38,58
山西省,23317.1,5048,748,90.4,5813.05,4
内蒙古自治区,7497.5,1320.7,147,15.49,1434.38,30
辽宁省,18129.7,3459,424,55.96,3987.47,18
吉林省,8737.4,3006.1,117,33.72,2139.08,75
黑龙江省,3753.5,786.8,164,19.47,1488.25,27
上海市,54802.9,9232.4,171,74.91,11902.95,24
江苏省,273428,74993.3,5137,879.44,33319.03,214
浙江省,181956.4,43302.4,1242,538.25,19871.61,132
安徽省,53887.4,14006.5,512,196.15,8765.72,225
福建省,87172.3,19182.5,1113,477.65,12569,56
江西省,35525.6,14475.2,462,164.48,7077.34,93
山东省,95011.9,24018.2,1182,270.64,16050.29,142
河南省,67394,18989.1,1281,288.12,11706.84,50
湖北省,94015.9,33112.6,1520,232.47,17435.76,77
湖南省,76367.9,24029.2,1274,278.63,11254.79,66
广东省,105978.4,24525.6,1658,354.51,21581.21,102
广西壮族自治区,29484.2,8596.7,207,118.51,4677.43,88
海南省,1700.3,475.8,12,6.4,552.26,9
重庆市,37895.2,13931.8,313,205.54,7758.08,94
四川省,72351.8,23250.8,836,364.57,14936.96,193
贵州省,17892.1,4035.6,275,71.58,3599.05,20
云南省,18751.1,6648.6,452,120.21,5175.99,38
西藏自治区,425.5,196.4,17,3.84,331.31,6
陕西省,36561.7,7164.9,763,129.83,8754.74,32
甘肃省,12418.8,2341.4,270,46.01,2481.03,29
青海省,935.5,277.1,54,6.01,688.9,1
宁夏回族自治区,1989.7,839.9,44,11.09,750.77,12
新疆维吾尔自治区,13355.6,3124.5,306,35.7,3138.24,30
